a0,alpha,n_iter,prior_mean,prior_rho,v,x_id
0.1,0.02,4,0,0.4,0.3999999999984001,x
0.1,0.04,4,0,0.4,0.39999999978644624,x
0.1,0.06,4,0,0.4,0.39999999904700795,x
0.1,0.08,4,0,0.4,0.3999999968962577,x
0.1,0.1,5,0,0.4,0.39999999916431056,x
0.1,0.12,5,0,0.4,0.39999999803836195,x
0.1,0.14,5,0,0.4,0.39999999590192054,x
0.1,0.16,5,0,0.4,0.3999999920371725,x
0.1,0.18,5,0,0.4,0.39999998560826644,x
0.1,0.2,5,0,0.4,0.3999999756802339,x
0.1,0.22,6,0,0.4,0.39999999138703896,x
0.1,0.24,6,0,0.4,0.39999998552952576,x
0.1,0.26,6,0,0.4,0.399999976493284,x
0.1,0.28,6,0,0.4,0.39999996333907906,x
0.1,0.3,6,0,0.4,0.3999999445656021,x
0.1,0.32,7,0,0.4,0.39999997391000147,x
0.1,0.34,7,0,0.4,0.39999996008606237,x
0.1,0.36,7,0,0.4,0.39999994046842213,x
0.1,0.38,7,0,0.4,0.39999991304487403,x
0.1,0.4,7,0,0.4,0.3999998754396153,x
0.1,0.42,8,0,0.4,0.3999999264182871,x
0.1,0.44,8,0,0.4,0.39999989318942875,x
0.1,0.46,8,0,0.4,0.3999998476419513,x
0.1,0.48,8,0,0.4,0.3999997858328989,x
0.1,0.5,9,0,0.4,0.39999985154492856,x
0.1,0.52,9,0,0.4,0.39999978873635056,x
0.1,0.54,9,0,0.4,0.39999970330498,x
0.1,0.56,10,0,0.4,0.399999769523221,x
0.1,0.58,10,0,0.4,0.3999996726129567,x
0.1,0.6,11,0,0.4,0.39999972432883524,x
0.1,0.62,11,0,0.4,0.39999960461950057,x
0.1,0.64,11,0,0.4,0.39999943940750726,x
0.1,0.66,12,0,0.4,0.3999994809798357,x
0.1,0.68,13,0,0.4,0.39999949503625726,x
0.1,0.7000000000000001,13,0,0.4,0.3999992640347848,x
0.1,0.72,14,0,0.4,0.3999992358116854,x
0.1,0.74,15,0,0.4,0.39999917022351295,x
0.1,0.76,16,0,0.4,0.3999990592797653,x
0.1,0.78,17,0,0.4,0.39999888831043146,x
0.1,0.8,18,0,0.4,0.3999986325158471,x
0.1,0.8200000000000001,19,0,0.4,0.39999825145011614,x
0.1,0.84,21,0,0.4,0.39999805029534463,x
0.1,0.86,23,0,0.4,0.399997637218843,x
0.1,0.88,25,0,0.4,0.399996896608899,x
0.1,0.9,28,0,0.4,0.3999960344651207,x
0.1,0.92,32,0,0.4,0.39999474772603993,x
0.1,0.9400000000000001,38,0,0.4,0.3999927989679245,x
0.1,0.96,47,0,0.4,0.39998892890807913,x
0.1,0.98,57,0,0.4,0.39997628489031395,x
0.1,1.0,3,0,0.4,0.399924052282914,x
0.1,1.02,200,0,0.4,0.3983680215267111,x
0.1,1.04,200,0,0.4,0.39446267979026456,x
0.1,1.06,200,0,0.4,0.3910506946829375,x
0.1,1.08,181,0,0.4,0.38757003728960154,x
0.1,1.1,159,0,0.4,0.38382085568203766,x
0.1,1.12,144,0,0.4,0.37975409114706143,x
0.1,1.1400000000000001,134,0,0.4,0.3753233605523161,x
0.1,1.16,126,0,0.4,0.3704729179359524,x
0.1,1.18,121,0,0.4,0.3651331088678696,x
0.1,1.2,117,0,0.4,0.3592208315021386,x
0.1,1.22,115,0,0.4,0.35263392197263,x
0.1,1.24,114,0,0.4,0.34524970963297674,x
0.1,1.26,114,0,0.4,0.3369183564802862,x
0.1,1.28,115,0,0.4,0.32745580730984297,x
0.1,1.3,117,0,0.4,0.3166310478014076,x
0.1,1.32,121,0,0.4,0.3041419883688424,x
0.1,1.34,126,0,0.4,0.28956882021788993,x
0.1,1.36,135,0,0.4,0.27225831793376737,x
0.1,1.3800000000000001,149,0,0.4,0.25102208627920575,x
0.1,1.4000000000000001,181,0,0.4,0.2229643711470355,x
0.1,1.42,200,0,0.4,0.17225633431411147,x
0.1,1.44,138,0,0.4,7.87564324784679e-07,x
0.1,1.46,102,0,0.4,5.333211656704957e-07,x
0.1,1.48,86,0,0.4,4.0751071795360275e-07,x
0.1,1.5,76,0,0.4,4.154864849617654e-07,x
0.1,1.52,69,0,0.4,4.200166978162385e-07,x
0.1,1.54,64,0,0.4,3.2551347317070383e-07,x
0.1,1.56,59,0,0.4,6.671024180062767e-07,x
0.1,1.58,56,0,0.4,4.4126891163317216e-07,x
0.1,1.6,53,0,0.4,4.774947233797751e-07,x
0.1,1.62,51,0,0.4,2.9381609990977803e-07,x
0.1,1.6400000000000001,49,0,0.4,2.423695898634339e-07,x
0.1,1.6600000000000001,47,0,0.4,2.558644334756494e-07,x
0.1,1.68,45,0,0.4,3.337785769632872e-07,x
0.1,1.7,43,0,0.4,5.236287041329631e-07,x
0.1,1.72,42,0,0.4,3.42716421666787e-07,x
0.1,1.74,41,0,0.4,2.520690433083382e-07,x
0.1,1.76,40,0,0.4,2.0595055609771363e-07,x
0.1,1.78,39,0,0.4,1.8508576047081135e-07,x
0.1,1.8,38,0,0.4,1.81444708925146e-07,x
0.1,1.82,37,0,0.4,1.9268438075552092e-07,x
0.1,1.84,36,0,0.4,2.203624146548202e-07,x
0.1,1.86,35,0,0.4,2.698365031126027e-07,x
0.1,1.8800000000000001,34,0,0.4,3.52383113191844e-07,x
0.1,1.9000000000000001,34,0,0.4,1.5108255656236485e-07,x
0.1,1.92,33,0,0.4,2.1906634671231296e-07,x
0.1,1.94,32,0,0.4,3.352537567799501e-07,x
0.1,1.96,32,0,0.4,1.6021231125676932e-07,x
