a0,alpha,n_iter,prior_mean,prior_rho,v,x_id
0.1,0.54,169,0,0.4,0.3926674409958264,x
0.1,0.54,169,0,0.4,0.37935261384502617,z
0.1,0.56,132,0,0.4,0.3882810951824654,x
0.1,0.56,132,0,0.4,0.36802422363056964,z
0.1,0.58,113,0,0.4,0.38336529609626113,x
0.1,0.58,113,0,0.4,0.3560274553552684,z
0.1,0.6,101,0,0.4,0.37784835204024125,x
0.1,0.6,101,0,0.4,0.34329930982233964,z
0.1,0.62,93,0,0.4,0.37162952995785803,x
0.1,0.62,93,0,0.4,0.3297399633555744,z
0.1,0.64,88,0,0.4,0.36457403605300637,x
0.1,0.64,88,0,0.4,0.3152168248930362,z
0.1,0.66,85,0,0.4,0.35650507599923603,x
0.1,0.66,85,0,0.4,0.29956588475474677,z
0.1,0.68,84,0,0.4,0.347191180824427,x
0.1,0.68,84,0,0.4,0.2825894655676674,z
0.1,0.7000000000000001,84,0,0.4,0.3363277358483439,x
0.1,0.7000000000000001,84,0,0.4,0.26405331765121615,z
0.1,0.72,85,0,0.4,0.3235023273249238,x
0.1,0.72,85,0,0.4,0.2436715748512844,z
0.1,0.74,88,0,0.4,0.30812639706135847,x
0.1,0.74,88,0,0.4,0.22107022765813591,z
0.1,0.76,93,0,0.4,0.28927556726264875,x
0.1,0.76,93,0,0.4,0.19568737322360483,z
0.1,0.78,103,0,0.4,0.2652198358411821,x
0.1,0.78,103,0,0.4,0.16645271840966508,z
0.1,0.8,127,0,0.4,0.2313910330428595,x
0.1,0.8,127,0,0.4,0.13036996694762967,z
0.1,0.8200000000000001,161,0,0.4,3.792219830390556e-08,x
0.1,0.8200000000000001,161,0,0.4,9.997363717251535e-12,z
0.1,0.84,70,0,0.4,4.7219273251424954e-08,x
0.1,0.84,70,0,0.4,9.997882669092369e-12,z
0.1,0.86,54,0,0.4,3.586344608040354e-08,x
0.1,0.86,54,0,0.4,9.997212422810571e-12,z
0.1,0.88,46,0,0.4,2.3313904010097095e-08,x
0.1,0.88,46,0,0.4,9.995712553097602e-12,z
0.1,0.9,41,0,0.4,1.0564480392804505e-08,x
0.1,0.9,41,0,0.4,9.990543270564099e-12,z
0.1,0.92,37,0,0.4,1.3584986973810613e-08,x
0.1,0.92,37,0,0.4,9.992644347494217e-12,z
0.1,0.9400000000000001,34,0,0.4,1.0796793262265537e-08,x
0.1,0.9400000000000001,34,0,0.4,9.990746561207093e-12,z
0.1,0.96,32,0,0.4,1.939270539173339e-09,x
0.1,0.96,32,0,0.4,9.948698757822292e-12,z
0.1,0.98,30,0,0.4,6.852972084535666e-10,x
0.1,0.98,30,0,0.4,9.85617661226857e-12,z
0.1,1.0,28,0,0.4,2.91732166327926e-10,x
0.1,1.0,28,0,0.4,9.668580247121155e-12,z
0.1,1.02,27,0,0.4,4.989534003741662e-11,x
0.1,1.02,27,0,0.4,8.330421032128216e-12,z
0.1,1.04,26,0,0.4,3.3301867736431845e-11,x
0.1,1.04,26,0,0.4,7.690630791986247e-12,z
0.1,1.06,25,0,0.4,2.60179464232294e-11,x
0.1,1.06,25,0,0.4,7.223606287128404e-12,z
0.1,1.08,24,0,0.4,2.1714759697303685e-11,x
0.1,1.08,24,0,0.4,6.846893971310724e-12,z
0.1,1.1,23,0,0.4,1.8802188090943864e-11,x
0.1,1.1,23,0,0.4,6.528041561139498e-12,z
0.1,1.12,22,0,0.4,1.7646768677413647e-11,x
0.1,1.12,22,0,0.4,6.499116021074976e-12,z
0.1,1.1400000000000001,22,0,0.4,1.5026659949563315e-11,x
0.1,1.1400000000000001,22,0,0.4,6.0042610479571825e-12,z
0.1,1.16,21,0,0.4,1.3717471603235926e-11,x
0.1,1.16,21,0,0.4,5.783698967880024e-12,z
0.1,1.18,21,0,0.4,1.2638585010725103e-11,x
0.1,1.18,21,0,0.4,5.582762794025124e-12,z
0.1,1.2,20,0,0.4,1.1738274875019167e-11,x
0.1,1.2,20,0,0.4,5.3998189564289504e-12,z
0.1,0.02,4,0,0.6,0.5999999997460872,x
0.1,0.02,4,0,0.6,0.5999999809565422,z
0.1,0.04,5,0,0.6,0.5999999995630129,x
0.1,0.04,5,0,0.6,0.5999999836129747,z
0.1,0.06,5,0,0.6,0.5999999981144817,x
0.1,0.06,5,0,0.6,0.5999999528620414,z
0.1,0.08,5,0,0.6,0.5999999923677156,x
0.1,0.08,5,0,0.6,0.5999998568946657,z
0.1,0.1,6,0,0.6,0.5999999954553442,x
0.1,0.1,6,0,0.6,0.5999999318301664,z
0.1,0.12,6,0,0.6,0.5999999860720839,x
0.1,0.12,6,0,0.6,0.5999998259010441,z
0.1,0.14,6,0,0.6,0.599999965366269,x
0.1,0.14,6,0,0.6,0.5999996289242904,z
0.1,0.16,7,0,0.6,0.5999999752658635,x
0.1,0.16,7,0,0.6,0.5999997681174598,z
0.1,0.18,7,0,0.6,0.5999999436293553,x
0.1,0.18,7,0,0.6,0.5999995302445834,z
0.1,0.2,8,0,0.6,0.5999999528953417,x
0.1,0.2,8,0,0.6,0.5999996467150346,z
0.1,0.22,8,0,0.6,0.5999998990118712,x
0.1,0.22,8,0,0.6,0.5999993114444613,z
0.1,0.24,9,0,0.6,0.5999999028279945,x
0.1,0.24,9,0,0.6,0.5999993926748663,z
0.1,0.26,10,0,0.6,0.5999998959684042,x
0.1,0.26,10,0,0.6,0.5999993998176134,z
0.1,0.28,10,0,0.6,0.5999997820256242,x
0.1,0.28,10,0,0.6,0.5999988322797044,z
0.1,0.3,11,0,0.6,0.5999997393277398,x
0.1,0.3,11,0,0.6,0.5999986966381323,z
0.1,0.32,12,0,0.6,0.5999996607649397,x
0.1,0.32,12,0,0.6,0.5999984098347562,z
0.1,0.34,13,0,0.6,0.5999995226075946,x
0.1,0.34,13,0,0.6,0.5999978938553594,z
0.1,0.36,15,0,0.6,0.5999994798634277,x
0.1,0.36,15,0,0.6,0.5999978327624034,z
0.1,0.38,17,0,0.6,0.5999993241942998,x
0.1,0.38,17,0,0.6,0.5999973323429164,z
0.1,0.4,19,0,0.6,0.5999989661055292,x
0.1,0.4,19,0,0.6,0.5999961228890549,z
0.1,0.42,23,0,0.6,0.5999987001849505,x
0.1,0.42,23,0,0.6,0.5999953577933381,z
0.1,0.44,28,0,0.6,0.5999980025951517,x
0.1,0.44,28,0,0.6,0.599993190642623,z
0.1,0.46,37,0,0.6,0.59999673325894,x
0.1,0.46,37,0,0.6,0.5999893475255071,z
0.1,0.48,55,0,0.6,0.599992480389915,x
0.1,0.48,55,0,0.6,0.5999765009240434,z
0.1,0.5,3,0,0.6,0.5999281826413437,x
0.1,0.5,3,0,0.6,0.5997845221826109,z
0.1,0.52,200,0,0.6,0.5950481878128783,x
0.1,0.52,200,0,0.6,0.5856105670323124,z
0.1,0.54,179,0,0.6,0.5891437096253122,x
0.1,0.54,179,0,0.6,0.5694077702367132,z
0.1,0.56,138,0,0.6,0.5828319947504081,x
