a0,alpha,criterion,prior_mean,prior_rho
0,0.18799734130859375,perfect,0,0.05
0,0.3354575415039062,perfect,0,0.1
0,0.4682693774414063,perfect,0,0.15
0,0.5913156372070312,perfect,0,0.2
0,0.7075259936523439,perfect,0,0.25
0,0.8169004467773437,perfect,0,0.3
0,0.9223686694335937,perfect,0,0.35
0,1.023930661621094,perfect,0,0.39999999999999997
0,1.1206098657226562,perfect,0,0.44999999999999996
0,1.214359396972656,perfect,0,0.49999999999999994
0,1.3051792553710935,perfect,0,0.5499999999999999
0,1.3930694409179685,perfect,0,0.6
0,1.4790065112304687,perfect,0,0.65
0,1.5610373510742184,perfect,0,0.7
0,1.6420916333007813,perfect,0,0.75
0,1.7192396850585938,perfect,0,0.7999999999999999
0,1.7934580639648439,perfect,0,0.85
0,1.8627936547851562,perfect,0,0.9
0,1.9213871118164065,perfect,0,0.95
