a0,alpha,criterion,prior_mean,prior_rho
0.1,0.47900991455078135,random,0.01,0.7
0.1,1.0479504858398438,perfect,0.01,0.7
0.1,0.5088924780273438,random,0.0,0.75
0.1,1.0719737231445314,perfect,0.0,0.75
0.1,0.4749083862304688,random,0.01,0.75
0.1,1.0719737231445314,perfect,0.01,0.75
0.1,0.5094784106445314,random,0.0,0.7999999999999999
0.1,1.0924813647460938,perfect,0.0,0.7999999999999999
0.1,0.4708068579101563,random,0.01,0.7999999999999999
0.1,1.0924813647460938,perfect,0.01,0.7999999999999999
0.1,0.5106502758789062,random,0.0,0.85
0.1,1.1083015454101564,perfect,0.0,0.85
0.1,0.4667053295898438,random,0.01,0.85
0.1,1.1083015454101564,perfect,0.01,0.85
0.1,0.5170955346679689,random,0.0,0.9
0.1,1.1206061303710937,perfect,0.0,0.9
0.1,0.46201786865234384,random,0.01,0.9
0.1,1.1206061303710937,perfect,0.01,0.9
0.1,0.5575248852539063,random,0.0,0.95
0.1,1.1276373217773437,perfect,0.0,0.95
0.1,0.4573304077148438,random,0.01,0.95
0.1,1.1276373217773437,perfect,0.01,0.95
1000.0,0.07061488037109376,random,0.0,0.05
1000.0,0.07061488037109376,perfect,0.0,0.05
1000.0,0.07061488037109376,random,0.01,0.05
1000.0,0.07061488037109376,perfect,0.01,0.05
1000.0,0.13565340087890626,random,0.0,0.1
1000.0,0.13565340087890626,perfect,0.0,0.1
1000.0,0.13565340087890626,random,0.01,0.1
1000.0,0.13565340087890626,perfect,0.01,0.1
1000.0,0.19776225830078126,random,0.0,0.15
1000.0,0.19776225830078126,perfect,0.0,0.15
1000.0,0.19776225830078126,random,0.01,0.15
1000.0,0.19776225830078126,perfect,0.01,0.15
1000.0,0.2581133178710937,random,0.0,0.2
1000.0,0.2581133178710937,perfect,0.0,0.2
1000.0,0.2581133178710937,random,0.01,0.2
1000.0,0.2581133178710937,perfect,0.01,0.2
1000.0,0.3178784448242187,random,0.0,0.25
1000.0,0.3178784448242187,perfect,0.0,0.25
1000.0,0.3178784448242187,random,0.01,0.25
1000.0,0.3178784448242187,perfect,0.01,0.25
1000.0,0.37588577392578126,random,0.0,0.3
1000.0,0.37588577392578126,perfect,0.0,0.3
1000.0,0.37588577392578126,random,0.01,0.3
1000.0,0.37588577392578126,perfect,0.01,0.3
1000.0,0.4333071704101562,random,0.0,0.35
1000.0,0.4333071704101562,perfect,0.0,0.35
1000.0,0.4333071704101562,random,0.01,0.35
1000.0,0.4333071704101562,perfect,0.01,0.35
1000.0,0.4895567016601563,random,0.0,0.39999999999999997
1000.0,0.4895567016601563,perfect,0.0,0.39999999999999997
1000.0,0.4895567016601563,random,0.01,0.39999999999999997
1000.0,0.4895567016601563,perfect,0.01,0.39999999999999997
1000.0,0.5042050170898438,random,0.0,0.44999999999999996
1000.0,0.5452203002929688,perfect,0.0,0.44999999999999996
1000.0,0.4948300952148438,random,0.01,0.44999999999999996
1000.0,0.5452203002929688,perfect,0.01,0.44999999999999996
1000.0,0.5036190844726562,random,0.0,0.49999999999999994
1000.0,0.5997120336914064,perfect,0.0,0.49999999999999994
1000.0,0.49190043212890633,random,0.01,0.49999999999999994
1000.0,0.5997120336914064,perfect,0.01,0.49999999999999994
1000.0,0.5030331518554687,random,0.0,0.5499999999999999
1000.0,0.6542037670898437,perfect,0.0,0.5499999999999999
1000.0,0.48897076904296877,random,0.01,0.5499999999999999
1000.0,0.6542037670898437,perfect,0.01,0.5499999999999999
1000.0,0.5024472192382814,random,0.0,0.6
1000.0,0.7075236352539063,perfect,0.0,0.6
1000.0,0.4860411059570313,random,0.01,0.6
1000.0,0.7075236352539063,perfect,0.01,0.6
1000.0,0.5018612866210939,random,0.0,0.65
1000.0,0.7614294360351563,perfect,0.0,0.65
1000.0,0.48252551025390633,random,0.01,0.65
1000.0,0.7614294360351563,perfect,0.01,0.65
1000.0,0.5018612866210939,random,0.0,0.7
1000.0,0.8141633715820313,perfect,0.0,0.7
1000.0,0.47900991455078135,random,0.01,0.7
1000.0,0.8141633715820313,perfect,0.01,0.7
1000.0,0.5012753540039063,random,0.0,0.75
1000.0,0.8680691723632814,perfect,0.0,0.75
1000.0,0.4749083862304688,random,0.01,0.75
1000.0,0.8680691723632814,perfect,0.01,0.75
1000.0,0.5006894213867188,random,0.0,0.7999999999999999
1000.0,0.9225609057617188,perfect,0.0,0.7999999999999999
1000.0,0.4708068579101563,random,0.01,0.7999999999999999
1000.0,0.9225609057617188,perfect,0.01,0.7999999999999999
1000.0,0.5006894213867188,random,0.0,0.85
1000.0,0.9799823022460938,perfect,0.0,0.85
1000.0,0.4667053295898438,random,0.01,0.85
1000.0,0.9799823022460938,perfect,0.01,0.85
1000.0,0.5001034887695313,random,0.0,0.9
1000.0,1.0415052270507814,perfect,0.0,0.9
1000.0,0.46201786865234384,random,0.01,0.9
1000.0,1.0415052270507814,perfect,0.01,0.9
1000.0,0.5001034887695313,random,0.0,0.95
1000.0,1.103614084472656,perfect,0.0,0.95
1000.0,0.4573304077148438,random,0.01,0.95
1000.0,1.103614084472656,perfect,0.01,0.95
