a0,alpha,n_iter,output_width,prior_p_pos,v,x_id
0.1,1.6500000000000001,24,1.0,0.51,9.999999999877696e-12,x
0.1,1.7000000000000002,22,1.0,0.51,4.2471149065371496e-08,x
0.1,1.75,21,1.0,0.51,9.999999999870279e-12,x
0.1,1.8,20,1.0,0.51,9.999999999866573e-12,x
0.1,1.85,19,1.0,0.51,3.416587696557191e-11,x
0.1,1.9000000000000001,18,1.0,0.51,9.999999999859162e-12,x
0.1,1.9500000000000002,18,1.0,0.51,9.99999999985546e-12,x
0.1,2.0,17,1.0,0.51,9.999999999851748e-12,x
0.1,2.05,17,1.0,0.51,9.999999999848042e-12,x
0.1,2.1,16,1.0,0.51,9.999999999844336e-12,x
0.1,2.1500000000000004,16,1.0,0.51,9.99999999984063e-12,x
0.1,2.2,15,1.0,0.51,2.037486049634163e-10,x
0.1,2.25,15,1.0,0.51,9.99999999983322e-12,x
0.1,2.3,15,1.0,0.51,9.999999999829511e-12,x
0.1,2.35,14,1.0,0.51,1.3901964567899638e-11,x
0.1,2.4000000000000004,14,1.0,0.51,9.999999999822099e-12,x
0.1,2.45,14,1.0,0.51,9.999999999818394e-12,x
0.1,2.5,13,1.0,0.51,6.642576622827768e-08,x
0.1,2.5500000000000003,13,1.0,0.51,9.999999999810989e-12,x
0.1,2.6,13,1.0,0.51,9.999999999807276e-12,x
0.1,2.65,13,1.0,0.51,9.999999999803567e-12,x
0.1,2.7,13,1.0,0.51,9.999999999799859e-12,x
0.1,2.75,12,1.0,0.51,1.1903864897534307e-08,x
0.1,2.8000000000000003,12,1.0,0.51,9.999999999792447e-12,x
0.1,2.85,12,1.0,0.51,9.999999999788748e-12,x
0.1,2.9000000000000004,12,1.0,0.51,9.999999999785039e-12,x
0.1,2.95,12,1.0,0.51,9.999999999781333e-12,x
0.1,3.0,12,1.0,0.51,9.999999999777622e-12,x
0.1,0.55,19,1.5,0.51,0.998604175793591,x
0.1,0.6,26,1.5,0.51,0.9982042431657456,x
0.1,0.65,38,1.5,0.51,0.9974990983551487,x
0.1,0.7,60,1.5,0.51,0.9959935683618716,x
0.1,0.75,100,1.5,0.51,0.9917816018346449,x
0.1,0.8,120,1.5,0.51,0.9802657586758071,x
0.1,0.8500000000000001,102,1.5,0.51,0.9617215429710934,x
0.1,0.9,86,1.5,0.51,0.9395887723469811,x
0.1,0.95,75,1.5,0.51,0.9151447429857791,x
0.1,1.0,67,1.5,0.51,0.8888257813514809,x
0.1,1.05,62,1.5,0.51,0.8608411737331116,x
0.1,1.1,58,1.5,0.51,0.831325724901551,x
0.1,1.15,55,1.5,0.51,0.8003860158002489,x
0.1,1.2000000000000002,53,1.5,0.51,0.7681229498308937,x
0.1,1.25,51,1.5,0.51,0.734646128210784,x
0.1,1.3,49,1.5,0.51,0.7000846443855172,x
0.1,1.35,48,1.5,0.51,0.6645980196157654,x
0.1,1.4,46,1.5,0.51,0.6283884680790335,x
0.1,1.4500000000000002,45,1.5,0.51,0.5917050947012289,x
0.1,1.5,44,1.5,0.51,0.5548502088143665,x
0.1,1.55,43,1.5,0.51,0.518170751651239,x
0.1,1.6,41,1.5,0.51,0.48204114651327745,x
0.1,1.6500000000000001,40,1.5,0.51,0.4468300906915958,x
0.1,1.7000000000000002,39,1.5,0.51,0.41286664640025283,x
0.1,1.75,38,1.5,0.51,0.38040090992546494,x
0.1,1.8,37,1.5,0.51,0.3495789667405694,x
0.1,1.85,37,1.5,0.51,0.32043230671748507,x
0.1,1.9000000000000001,36,1.5,0.51,0.2928842213715351,x
0.1,1.9500000000000002,36,1.5,0.51,0.2667551122130981,x
0.1,2.0,36,1.5,0.51,0.2417709278329588,x
0.1,2.05,37,1.5,0.51,0.2175425072497392,x
0.1,2.1,39,1.5,0.51,0.19349463177669632,x
0.1,2.1500000000000004,44,1.5,0.51,0.16861896219500272,x
0.1,2.2,56,1.5,0.51,0.1403685267585491,x
0.1,2.25,78,1.5,0.51,9.999999999833213e-12,x
0.1,2.3,35,1.5,0.51,9.999999999829515e-12,x
0.1,2.35,28,1.5,0.51,9.999999999825802e-12,x
0.1,2.4000000000000004,24,1.5,0.51,9.999999999822093e-12,x
0.1,2.45,22,1.5,0.51,9.999999999818388e-12,x
0.1,2.5,20,1.5,0.51,8.059930815007846e-09,x
0.1,2.5500000000000003,19,1.5,0.51,9.999999999810974e-12,x
0.1,2.6,18,1.5,0.51,9.999999999807268e-12,x
0.1,2.65,17,1.5,0.51,3.5588671780941785e-08,x
0.1,2.7,17,1.5,0.51,9.999999999799869e-12,x
0.1,2.75,16,1.5,0.51,9.999999999796156e-12,x
0.1,2.8000000000000003,16,1.5,0.51,9.999999999792443e-12,x
0.1,2.85,15,1.5,0.51,9.999999999788748e-12,x
0.1,2.9000000000000004,15,1.5,0.51,9.999999999785042e-12,x
0.1,2.95,14,1.5,0.51,9.999999999781323e-12,x
0.1,3.0,14,1.5,0.51,9.999999999777619e-12,x
