N,alpha,f,n_iter,prior_rho,source,v,x_id
1000,0.5102040816326531,abs,,0.25,mse,2.908581132752559e-07,x
1000,0.5306122448979591,abs,17.0,0.25,SE,3.556677605109282e-07,x
1000,0.5306122448979591,abs,17.0,0.25,EP,4.260954291596648e-07,x
1000,0.5306122448979591,abs,,0.25,mse,6.719072846269236e-07,x
1000,0.5510204081632653,abs,16.0,0.25,SE,1.360668376740942e-07,x
1000,0.5510204081632653,abs,17.0,0.25,EP,4.234184572790745e-07,x
1000,0.5510204081632653,abs,,0.25,mse,4.28332719168135e-07,x
1000,0.5714285714285714,abs,14.0,0.25,SE,3.148157723193628e-07,x
1000,0.5714285714285714,abs,14.0,0.25,EP,2.330068937227661e-07,x
1000,0.5714285714285714,abs,,0.25,mse,2.2941860985722464e-07,x
1000,0.5918367346938775,abs,13.0,0.25,SE,2.640189255846578e-07,x
1000,0.5918367346938775,abs,12.0,0.25,EP,2.136711016520272e-07,x
1000,0.5918367346938775,abs,,0.25,mse,1.8669054625829693e-07,x
1000,0.6122448979591836,abs,12.0,0.25,SE,2.612163583052803e-07,x
1000,0.6122448979591836,abs,12.0,0.25,EP,9.439027640600057e-08,x
1000,0.6122448979591836,abs,,0.25,mse,1.1098989051773618e-07,x
1000,0.6326530612244897,abs,12.0,0.25,SE,6.799123104567707e-08,x
1000,0.6326530612244897,abs,12.0,0.25,EP,1.0556107849190918e-07,x
1000,0.6326530612244897,abs,,0.25,mse,1.0957576036240219e-07,x
1000,0.6530612244897959,abs,11.0,0.25,SE,9.417444561780994e-08,x
1000,0.6530612244897959,abs,10.0,0.25,EP,2.0899553051173193e-07,x
1000,0.6530612244897959,abs,,0.25,mse,1.6189981991537775e-07,x
1000,0.673469387755102,abs,10.0,0.25,SE,1.679487159661208e-07,x
1000,0.673469387755102,abs,11.0,0.25,EP,8.05492476223556e-08,x
1000,0.673469387755102,abs,,0.25,mse,1.1028900117165385e-07,x
1000,0.6938775510204082,abs,10.0,0.25,SE,5.394725713539407e-08,x
1000,0.6938775510204082,abs,10.0,0.25,EP,5.854494182368836e-08,x
1000,0.6938775510204082,abs,,0.25,mse,6.025576454641714e-08,x
1000,0.7142857142857142,abs,9.0,0.25,SE,1.1920671558547345e-07,x
1000,0.7142857142857142,abs,9.0,0.25,EP,7.839006599760129e-08,x
1000,0.7142857142857142,abs,,0.25,mse,6.584290295583617e-08,x
1000,0.7346938775510203,abs,9.0,0.25,SE,4.0867079859861784e-08,x
1000,0.7346938775510203,abs,8.0,0.25,EP,5.35749601968402e-08,x
1000,0.7346938775510203,abs,,0.25,mse,4.755623626550861e-08,x
1000,0.7551020408163265,abs,8.0,0.25,SE,1.1704809873705439e-07,x
1000,0.7551020408163265,abs,8.0,0.25,EP,4.533807010462018e-08,x
1000,0.7551020408163265,abs,,0.25,mse,4.4787270706891183e-08,x
1000,0.7755102040816326,abs,8.0,0.25,SE,4.170993893199309e-08,x
1000,0.7755102040816326,abs,8.0,0.25,EP,2.8384562253128767e-08,x
1000,0.7755102040816326,abs,,0.25,mse,2.492781025481998e-08,x
1000,0.7959183673469387,abs,8.0,0.25,SE,1.4193552918840614e-08,x
1000,0.7959183673469387,abs,7.0,0.25,EP,7.159082788405118e-08,x
1000,0.7959183673469387,abs,,0.25,mse,7.335596747212457e-08,x
1000,0.8163265306122448,abs,7.0,0.25,SE,5.562301927627686e-08,x
1000,0.8163265306122448,abs,7.0,0.25,EP,2.995465147931864e-08,x
1000,0.8163265306122448,abs,,0.25,mse,2.4142263851832054e-08,x
1000,0.836734693877551,abs,7.0,0.25,SE,1.869832286332885e-08,x
1000,0.836734693877551,abs,7.0,0.25,EP,2.1064648352785213e-08,x
1000,0.836734693877551,abs,,0.25,mse,1.781131713398081e-08,x
1000,0.8571428571428571,abs,7.0,0.25,SE,5.4459233418169396e-09,x
1000,0.8571428571428571,abs,7.0,0.25,EP,5.2401671074632855e-09,x
1000,0.8571428571428571,abs,,0.25,mse,4.482159603347591e-09,x
1000,0.8775510204081632,abs,6.0,0.25,SE,2.9772144131471795e-08,x
1000,0.8775510204081632,abs,6.0,0.25,EP,2.3556567099357965e-08,x
1000,0.8775510204081632,abs,,0.25,mse,4.90334138847933e-08,x
1000,0.8979591836734693,abs,6.0,0.25,SE,8.171105736262e-09,x
1000,0.8979591836734693,abs,6.0,0.25,EP,1.029141943434207e-08,x
1000,0.8979591836734693,abs,,0.25,mse,1.14903708784116e-08,x
1000,0.9183673469387754,abs,6.0,0.25,SE,1.8197125079890773e-09,x
1000,0.9183673469387754,abs,5.0,0.25,EP,2.8995561802057373e-08,x
1000,0.9183673469387754,abs,,0.25,mse,4.132981624729581e-08,x
1000,0.9387755102040816,abs,5.0,0.25,SE,1.0511260204872556e-08,x
1000,0.9387755102040816,abs,5.0,0.25,EP,1.1046278597636104e-08,x
1000,0.9387755102040816,abs,,0.25,mse,1.457447388849151e-08,x
1000,0.9591836734693877,abs,5.0,0.25,SE,1.4362642409639064e-09,x
