N,alpha,ensemble_type,n_iter,prior_rho,source,v,x_id
1000,0.7346938775510203,gaussian,,0.25,mse,1.7940331893344677e-07,x
1000,0.7551020408163265,gaussian,8.0,0.25,SE,1.1698464015935524e-07,x
1000,0.7551020408163265,gaussian,8.0,0.25,EP,5.1303463301946995e-08,x
1000,0.7551020408163265,gaussian,,0.25,mse,3.87238484736685e-08,x
1000,0.7755102040816326,gaussian,8.0,0.25,SE,4.16416609432375e-08,x
1000,0.7755102040816326,gaussian,8.0,0.25,EP,7.384279291864191e-08,x
1000,0.7755102040816326,gaussian,,0.25,mse,1.0138716703694156e-07,x
1000,0.7959183673469387,gaussian,8.0,0.25,SE,1.4116654882050213e-08,x
1000,0.7959183673469387,gaussian,8.0,0.25,EP,1.7242160282907464e-08,x
1000,0.7959183673469387,gaussian,,0.25,mse,1.4185258118535098e-08,x
1000,0.8163265306122448,gaussian,7.0,0.25,SE,5.5538359406470276e-08,x
1000,0.8163265306122448,gaussian,8.0,0.25,EP,8.977752930825822e-09,x
1000,0.8163265306122448,gaussian,,0.25,mse,9.120211555173712e-09,x
1000,0.836734693877551,gaussian,7.0,0.25,SE,1.8599358019912893e-08,x
1000,0.836734693877551,gaussian,7.0,0.25,EP,2.699514425888116e-08,x
1000,0.836734693877551,gaussian,,0.25,mse,2.6672111110820663e-08,x
1000,0.8571428571428571,gaussian,7.0,0.25,SE,5.338778787094735e-09,x
1000,0.8571428571428571,gaussian,7.0,0.25,EP,3.6262767299064758e-09,x
1000,0.8571428571428571,gaussian,,0.25,mse,2.7802187356680294e-09,x
1000,0.8775510204081632,gaussian,6.0,0.25,SE,2.9635951559818718e-08,x
1000,0.8775510204081632,gaussian,7.0,0.25,EP,2.8919802854349565e-09,x
1000,0.8775510204081632,gaussian,,0.25,mse,4.216892962415753e-09,x
1000,0.8979591836734693,gaussian,6.0,0.25,SE,8.018120906796238e-09,x
1000,0.8979591836734693,gaussian,6.0,0.25,EP,5.239423997247308e-09,x
1000,0.8979591836734693,gaussian,,0.25,mse,1.8389466180634438e-08,x
1000,0.9183673469387754,gaussian,6.0,0.25,SE,1.6594275942187172e-09,x
1000,0.9183673469387754,gaussian,6.0,0.25,EP,2.094384985637218e-09,x
1000,0.9183673469387754,gaussian,,0.25,mse,1.4012410188808954e-09,x
1000,0.9387755102040816,gaussian,5.0,0.25,SE,1.0248540720087584e-08,x
1000,0.9387755102040816,gaussian,5.0,0.25,EP,7.500532978129178e-09,x
1000,0.9387755102040816,gaussian,,0.25,mse,5.7772087290367855e-09,x
1000,0.9591836734693877,gaussian,5.0,0.25,SE,1.1897885109410117e-09,x
1000,0.9591836734693877,gaussian,5.0,0.25,EP,1.1540542357296658e-09,x
1000,0.9591836734693877,gaussian,,0.25,mse,1.4875323080300664e-09,x
