alpha,source,rho,v
0.23,SE,0.5,0.3787587946413034
0.23,BO,0.5,0.3787587839316596
0.24000000000000002,SE,0.5,0.3730373028534299
0.24000000000000002,BO,0.5,0.3730372819945999
0.25,SE,0.5,0.3672717508856004
0.25,BO,0.5,0.3672717074064095
0.26,SE,0.5,0.36146184299493334
0.26,BO,0.5,0.36146179640909326
0.27,SE,0.5,0.35560722910811166
0.27,BO,0.5,0.3556072156229244
0.28,SE,0.5,0.3497077256068534
0.28,BO,0.5,0.3497076844248896
0.29000000000000004,SE,0.5,0.34376300236898844
0.29000000000000004,BO,0.5,0.34376298387324933
0.3,SE,0.5,0.33777275828248204
0.3,BO,0.5,0.33777271137232895
0.31,SE,0.5,0.33173667189693756
0.31,BO,0.5,0.33173663461683967
0.32,SE,0.5,0.3256543939504391
0.32,BO,0.5,0.32565431437608855
0.33,SE,0.5,0.31952553988672344
0.33,BO,0.5,0.319525454399002
0.34,SE,0.5,0.31334957796161783
0.34,BO,0.5,0.31334951598579996
0.35000000000000003,SE,0.5,0.30712618368537226
0.35000000000000003,BO,0.5,0.30712614267727173
0.36000000000000004,SE,0.5,0.30085474476555063
0.36000000000000004,BO,0.5,0.300854602126053
0.37,SE,0.5,0.2945346459004659
0.37,BO,0.5,0.29453453176321087
0.38,SE,0.5,0.2881651912279909
0.38,BO,0.5,0.2881650685761955
0.39,SE,0.5,0.2817455932368986
0.39,BO,0.5,0.2817454337998268
0.4,SE,0.5,0.2752748004020279
0.4,BO,0.5,0.2752747320329926
0.41000000000000003,SE,0.5,0.26875203868274944
0.41000000000000003,BO,0.5,0.2687519402693138
0.42000000000000004,SE,0.5,0.2621760493946959
0.42000000000000004,BO,0.5,0.26217588623661403
0.43,SE,0.5,0.25554552141279224
0.43,BO,0.5,0.25554520066674996
0.44,SE,0.5,0.24885896588622167
0.44,BO,0.5,0.24885865873669966
0.45,SE,0.5,0.24211444760459486
0.45,BO,0.5,0.24211426896835536
0.46,SE,0.5,0.23531039107273388
0.46,BO,0.5,0.23531005036903907
0.47000000000000003,SE,0.5,0.2284444255072449
