alpha,source,rho,v
0.21000000000000002,BO,0.6,0.5999886545428298
0.22,SE,0.6,0.5999872650304054
0.22,BO,0.6,0.5999888964289478
0.23,SE,0.6,0.599984602583607
0.23,BO,0.6,0.5999817184818319
0.24000000000000002,SE,0.6,0.5999818538704833
0.24000000000000002,BO,0.6,0.5999815715380707
0.25,SE,0.6,0.5999790188966196
0.25,BO,0.6,0.599972531929916
0.26,SE,0.6,0.5999760976698133
0.26,BO,0.6,0.5999718611460142
0.27,SE,0.6,0.5999730901972684
0.27,BO,0.6,0.5999699867120776
0.28,SE,0.6,0.5999699964855087
0.28,BO,0.6,0.5999583779625061
0.29000000000000004,SE,0.6,0.5999668165426416
0.29000000000000004,BO,0.6,0.5999554646482067
0.3,SE,0.6,0.5999635503757574
0.3,BO,0.6,0.5999507694310581
0.31,SE,0.6,0.5999601979927699
0.31,BO,0.6,0.5999330050979923
0.32,SE,0.6,0.5999567593998555
0.32,BO,0.6,0.5999263361626884
0.33,SE,0.6,0.5999532346054144
0.33,BO,0.6,0.5999176380240356
0.34,SE,0.6,0.599949623617738
0.34,BO,0.6,0.5999065503161595
0.35000000000000003,SE,0.6,0.5999459264436962
0.35000000000000003,BO,0.6,0.5998924916826068
0.36000000000000004,SE,0.6,0.5999421430914168
0.36000000000000004,BO,0.6,0.5998745887329923
0.37,SE,0.6,0.599938273568903
0.37,BO,0.6,0.59987002551853
0.38,SE,0.6,0.5999343178833355
0.38,BO,0.6,0.5998431311792921
0.39,SE,0.6,0.5999302760445132
0.39,BO,0.6,0.5998075092102656
0.4,SE,0.6,0.5999261480586827
0.4,BO,0.6,0.5997841582986821
0.41000000000000003,SE,0.6,0.5999219339342674
0.41000000000000003,BO,0.6,0.5997495419334271
0.42000000000000004,SE,0.6,0.5999176336807178
0.42000000000000004,BO,0.6,0.5996997489895994
0.43,SE,0.6,0.5999132473051583
0.43,BO,0.6,0.5996538800895955
0.44,SE,0.6,0.5999087748162373
0.44,BO,0.6,0.5995806269381965
0.45,SE,0.6,0.5999042162230966
0.45,BO,0.6,0.5994671343931044
0.46,SE,0.6,0.5998995715340069
0.46,BO,0.6,0.5993204696064902
0.47000000000000003,SE,0.6,0.5998948407566047
0.47000000000000003,BO,0.6,0.5991101121206026
0.48000000000000004,SE,0.6,0.5998900239013849
0.48000000000000004,BO,0.6,0.5987483219514074
0.49,SE,0.6,0.5998528867357468
0.49,BO,0.6,0.5981481995186718
